code,name,kind1
006360,GS건설,건설업
013580,계룡건설,건설업
004200,고려개발,건설업
002990,금호산업,건설업
002995,금호산업우,건설업
013700,까뮤이앤씨,건설업
001260,남광토건,건설업
000210,대림산업,건설업
000215,대림산업우,건설업
047040,대우건설,건설업
005960,동부건설,건설업
005965,동부건설우,건설업
028100,동아지질,건설업
011160,두산건설,건설업
002410,범양건영,건설업
001470,삼부토건,건설업
001880,삼호,건설업
010960,삼호개발,건설업
005980,성지건설,건설업
034300,신세계건설,건설업
005450,신한,건설업
039570,아이콘트롤스,건설업
023960,에쓰씨엔지니어링,건설업
013360,일성건설,건설업
013367,일성건설2우B,건설업
002780,진흥기업,건설업
002787,진흥기업2우B,건설업
002785,진흥기업우B,건설업
003070,코오롱글로벌,건설업
003075,코오롱글로벌우,건설업
009410,태영건설,건설업
009415,태영건설우,건설업
014790,한라,건설업
004960,한신공영,건설업
051600,한전KPS,건설업
097230,한진중공업,건설업
000720,현대건설,건설업
000725,현대건설우,건설업
012630,현대산업,건설업
002460,화성산업,건설업
