code,name,kind
060310,3S,코스닥
054620,AP시스템,코스닥
211270,AP위성,코스닥
032040,C&S자산관리,코스닥
130960,CJ E&M,코스닥
035760,CJ오쇼핑,코스닥
051500,CJ프레시웨이,코스닥
058820,CMG제약,코스닥
023460,CNH,코스닥
065770,CS,코스닥
083660,CSA 코스믹,코스닥
068790,DMS,코스닥
037370,EG,코스닥
079190,EMW,코스닥
130500,GH신소재,코스닥
032860,GMR 머티리얼즈,코스닥
900290,GRT,코스닥
083450,GST,코스닥
028150,GS홈쇼핑,코스닥
078150,HB테크놀러지,코스닥
036640,HRS,코스닥
225430,IBKS제3호스팩,코스닥
230980,IBKS제4호스팩,코스닥
252500,IBKS지엠비스팩,코스닥
052220,iMBC,코스닥
095340,ISC,코스닥
099520,ITX엠투엠,코스닥
067290,JW신약,코스닥
035900,JYP Ent.,코스닥
024120,KB오토시스,코스닥
021320,KCC건설,코스닥
036670,KCI,코스닥
044180,KD건설,코스닥
151860,KG ETS,코스닥
046440,KG모빌리언스,코스닥
035600,KG이니시스,코스닥
060720,KH바텍,코스닥
083470,KJ프리텍,코스닥
122450,KMH,코스닥
052900,KMH하이텍,코스닥
058400,KNN,코스닥
114450,KPX생명과학,코스닥
036030,KTH,코스닥
043610,KT뮤직,코스닥
060370,KT서브마린,코스닥
159910,MBK,코스닥
086960,MDS테크,코스닥
065150,MPK,코스닥
160550,NEW,코스닥
060250,NHN한국사이버결제,코스닥
030190,NICE평가정보,코스닥
024940,PN풍년,코스닥
091340,S&K폴리텍,코스닥
950110,SBI액시즈,코스닥
019550,SBI인베스트먼트,코스닥
046140,SBS콘텐츠허브,코스닥
036120,SCI평가정보,코스닥
099220,SDN,코스닥
036540,SFA반도체,코스닥
040610,SG&G,코스닥
049470,SGA,코스닥
184230,SGA솔루션즈,코스닥
090730,SIMPAC METALLOY,코스닥
207930,SK1호스팩,코스닥
219550,SK2호스팩,코스닥
232330,SK3호스팩,코스닥
057500,SKC 솔믹스,코스닥
