code,name,kind1
011150,CJ씨푸드,음식료업
011155,CJ씨푸드1우,음식료업
097950,CJ제일제당,음식료업
097955,CJ제일제당 우,음식료업
023150,MH에탄올,음식료업
002140,고려산업,음식료업
003920,남양유업,음식료업
003925,남양유업우,음식료업
004370,농심,음식료업
001680,대상,음식료업
001689,대상3우B,음식료업
001685,대상우,음식료업
001790,대한제당,음식료업
001799,대한제당3우B,음식료업
001795,대한제당우,음식료업
001130,대한제분,음식료업
049770,동원F&B,음식료업
004990,롯데제과,음식료업
005300,롯데칠성,음식료업
005305,롯데칠성우,음식료업
002270,롯데푸드,음식료업
027740,마니커,음식료업
033920,무학,음식료업
000890,보해양조,음식료업
005180,빙그레,음식료업
003960,사조대림,음식료업
008040,사조동아원,음식료업
014710,사조씨푸드,음식료업
079660,사조해표,음식료업
005610,삼립식품,음식료업
145990,삼양사,음식료업
145995,삼양사우,음식료업
003230,삼양식품,음식료업
007540,샘표,음식료업
248170,샘표식품,음식료업
004410,서울식품,음식료업
004415,서울식품우,음식료업
136490,선진,음식료업
007310,오뚜기,음식료업
001800,오리온,음식료업
006980,우성사료,음식료업
002600,조흥,음식료업
005740,크라운제과,음식료업
005745,크라운제우,음식료업
036580,팜스코,음식료업
000080,하이트진로,음식료업
000087,하이트진로2우B,음식료업
003680,한성기업,음식료업
101530,해태제과식품,음식료업
