code,name,kind1
138930,BNK금융지주,금융업
139130,DGB금융지주,금융업
001500,HMC투자증권,금융업
175330,JB금융지주,금융업
105560,KB금융,금융업
002550,KB손해보험,금융업
030210,KTB투자증권,금융업
005940,NH투자증권,금융업
005945,NH투자증권우,금융업
001510,SK증권,금융업
001515,SK증권우,금융업
001290,골든브릿지증권,금융업
192530,광주은행,금융업
030610,교보증권,금융업
024110,기업은행,금융업
003540,대신증권,금융업
003547,대신증권2우B,금융업
003545,대신증권우,금융업
016610,동부증권,금융업
005830,동부화재,금융업
082640,동양생명,금융업
000400,롯데손해보험,금융업
088980,맥쿼리인프라,금융업
138040,메리츠금융지주,금융업
008560,메리츠종금증권,금융업
000060,메리츠화재,금융업
006800,미래에셋대우,금융업
006805,미래에셋대우우,금융업
085620,미래에셋생명,금융업
037620,미래에셋증권,금융업
001270,부국증권,금융업
001275,부국증권우,금융업
032830,삼성생명,금융업
016360,삼성증권,금융업
029780,삼성카드,금융업
000810,삼성화재,금융업
000815,삼성화재우,금융업
001720,신영증권,금융업
001725,신영증권우,금융업
055550,신한지주,금융업
033660,아주캐피탈,금융업
000030,우리은행,금융업
010050,우리종금,금융업
003470,유안타증권,금융업
003475,유안타증권우,금융업
001200,유진투자증권,금융업
003460,유화증권,금융업
003465,유화증권우,금융업
006220,제주은행,금융업
021960,케이비캐피탈,금융업
003690,코리안리,금융업
039490,키움증권,금융업
086790,하나금융지주,금융업
071050,한국금융지주,금융업
071055,한국금융지주우,금융업
123890,한국자산신탁,금융업
034830,한국토지신탁,금융업
001750,한양증권,금융업
001755,한양증권우,금융업
088350,한화생명,금융업
000370,한화손해보험,금융업
003530,한화투자증권,금융업
003535,한화투자증권우,금융업
001450,현대해상,금융업
000540,흥국화재,금융업
000547,흥국화재2우B,금융업
000545,흥국화재우,금융업
