code,name,kind1
027410,BGF리테일,유통업
017940,E1,유통업
001250,GS글로벌,유통업
007070,GS리테일,유통업
001120,LG상사,유통업
000680,LS네트웍스,유통업
004060,SG세계물산,유통업
018670,SK가스,유통업
001740,SK네트웍스,유통업
001745,SK네트웍스우,유통업
011810,STX,유통업
009810,고려포리머,유통업
037710,광주신세계,유통업
005320,국동,유통업
004270,남성,유통업
006370,대구백화점,유통업
128820,대성산업,유통업
026960,동서,유통업
023530,롯데쇼핑,유통업
071840,롯데하이마트,유통업
005360,모나미,유통업
028260,삼성물산,유통업
02826K,삼성물산우B,유통업
002810,삼영무역,유통업
013000,세우글로벌,유통업
067830,세이브존I&C,유통업
005390,신성통상,유통업
004170,신세계,유통업
031430,신세계인터내셔날,유통업
002700,신일산업,유통업
004080,신흥,유통업
004920,씨아이테크,유통업
122900,아이마켓코리아,유통업
101140,아티스,유통업
138250,엔에스쇼핑,유통업
069640,엠케이트렌드,유통업
111770,영원무역,유통업
010600,와이비로드,유통업
118000,우리들휴브레인,유통업
008600,윌비스,유통업
077500,유니퀘스트,유통업
139480,이마트,유통업
093230,이아이디,유통업
000760,이화산업,유통업
006490,인스코비,유통업
007110,일신석재,유통업
226320,잇츠스킨,유통업
088790,진도,유통업
011000,진원생명과학,유통업
012170,키위미디어그룹,유통업
047050,포스코대우,유통업
123690,한국화장품,유통업
009240,한샘,유통업
010420,한솔PNS,유통업
005110,한창,유통업
027390,한화갤러리아타임월드,유통업
005440,현대그린푸드,유통업
069960,현대백화점,유통업
011760,현대상사,유통업
227840,현대씨앤에프,유통업
057050,현대홈쇼핑,유통업
003010,혜인,유통업
008770,호텔신라,유통업
008775,호텔신라우,유통업
081660,휠라코리아,유통업
