code,name,kind1
069730,DSR제강,철강금속
008260,NI스틸,철강금속
005490,POSCO,철강금속
002710,TCC동양,철강금속
010130,고려아연,철강금속
002240,고려제강,철강금속
014280,금강공업,철강금속
014285,금강공업우,철강금속
008350,남선알미늄,철강금속
008355,남선알미우,철강금속
009190,대양금속,철강금속
012800,대창,철강금속
084010,대한제강,철강금속
069460,대호에이엘,철강금속
001230,동국제강,철강금속
016380,동부제철,철강금속
016385,동부제철우,철강금속
008970,동양철관,철강금속
004890,동일산업,철강금속
002690,동일제강,철강금속
024090,디씨엠,철강금속
001080,만호제강,철강금속
008420,문배철강,철강금속
026940,부국철강,철강금속
006110,삼아알미늄,철강금속
021050,서원,철강금속
001430,세아베스틸,철강금속
003030,세아제강,철강금속
019440,세아특수강,철강금속
001770,신화실업,철강금속
001780,알루코,철강금속
000670,영풍,철강금속
012160,영흥철강,철강금속
025820,이구산업,철강금속
018470,조일알미늄,철강금속
058430,포스코강판,철강금속
103140,풍산,철강금속
071090,하이스틸,철강금속
000970,한국주철관,철강금속
104700,한국철강,철강금속
007280,한국특수형강,철강금속
002220,한일철강,철강금속
004560,현대비앤지스틸,철강금속
004565,현대비앤지스틸우,철강금속
004020,현대제철,철강금속
133820,화인베스틸,철강금속
032560,황금에스티,철강금속
005010,휴스틸,철강금속
