code,name,kind1
068400,AJ렌터카,소형주
001460,BYC,소형주
011150,CJ씨푸드,소형주
000590,CS홀딩스,소형주
004840,DRB동일,소형주
155660,DSR,소형주
069730,DSR제강,소형주
007700,F&F,소형주
001250,GS글로벌,소형주
001500,HMC투자증권,소형주
003560,IHQ,소형주
009070,KCTC,소형주
009440,KC그린홀딩스,소형주
119650,KC코트렐,소형주
092220,KEC,소형주
109070,KGP,소형주
001390,KG케미칼,소형주
001940,KISCO홀딩스,소형주
083420,KPX그린케미칼,소형주
025000,KPX케미칼,소형주
092230,KPX홀딩스,소형주
000040,KR모터스,소형주
044450,KSS해운,소형주
030210,KTB투자증권,소형주
058850,KTcs,소형주
000680,LS네트웍스,소형주
023150,MH에탄올,소형주
008260,NI스틸,소형주
004250,NPC,소형주
100840,S&TC,소형주
004060,SG세계물산,소형주
001380,SG충방,소형주
002360,SH에너지화학,소형주
009160,SIMPAC,소형주
123700,SJM,소형주
025530,SJM홀딩스,소형주
011810,STX,소형주
077970,STX엔진,소형주
071970,STX중공업,소형주
084870,TBH글로벌,소형주
002710,TCC동양,소형주
024070,WISCOM,소형주
037270,YG PLUS,소형주
000500,가온전선,소형주
000860,강남제비스코,소형주
011420,갤럭시아에스엠,소형주
002100,경농,소형주
012320,경동가스,소형주
012610,경인양행,소형주
009140,경인전자,소형주
013580,계룡건설,소형주
012200,계양전기,소형주
004200,고려개발,소형주
002140,고려산업,소형주
009810,고려포리머,소형주
001290,골든브릿지증권,소형주
017040,광명전기,소형주
017900,광전자,소형주
030610,교보증권,소형주
005320,국동,소형주
001140,국보,소형주
002720,국제약품,소형주
014530,극동유화,소형주
014280,금강공업,소형주
008870,금비,소형주
001570,금양,소형주
214330,금호에이치티,소형주
001210,금호전기,소형주
092440,기신정기,소형주
013700,까뮤이앤씨,소형주
004540,깨끗한나라,소형주
007460,나라케이아이씨,소형주
001260,남광토건,소형주
008350,남선알미늄,소형주
004270,남성,소형주
002070,남영비비안,소형주
110570,넥솔론,소형주
090350,노루페인트,소형주
000320,노루홀딩스,소형주
020120,다우인큐브,소형주
015590,대경기계,소형주
006370,대구백화점,소형주
004130,대덕GDS,소형주
000490,대동공업,소형주
008110,대동전자,소형주
005750,대림B&Co,소형주
006570,대림통상,소형주
128820,대성산업,소형주
117580,대성에너지,소형주
005620,대성합동지주,소형주
016710,대성홀딩스,소형주
009190,대양금속,소형주
014160,대영포장,소형주
009320,대우부품,소형주
000430,대원강업,소형주
006340,대원전선,소형주
003220,대원제약,소형주
024890,대원화성,소형주
002880,대유에이텍,소형주
000300,대유플러스,소형주
012800,대창,소형주
015230,대창단조,소형주
001070,대한방직,소형주
084010,대한제강,소형주
001790,대한제당,소형주
001130,대한제분,소형주
003830,대한화섬,소형주
016090,대현,소형주
069460,대호에이엘,소형주
004830,덕성,소형주
024900,덕양산업,소형주
002150,도화엔지니어링,소형주
001620,동국실업,소형주
023450,동남합성,소형주
004140,동방,소형주
007590,동방아그로,소형주
012030,동부,소형주
005960,동부건설,소형주
016380,동부제철,소형주
016610,동부증권,소형주
083350,동북아10호,소형주
083360,동북아11호,소형주
083370,동북아12호,소형주
083380,동북아13호,소형주
083390,동북아14호,소형주
002210,동성제약,소형주
102260,동성코퍼레이션,소형주
