code,name,kind1
095570,AJ네트웍스,서비스업
068400,AJ렌터카,서비스업
006840,AK홀딩스,서비스업
001040,CJ,서비스업
079160,CJ CGV,서비스업
001045,CJ우,서비스업
037560,CJ헬로비전,서비스업
000590,CS홀딩스,서비스업
004840,DRB동일,서비스업
114090,GKL,서비스업
078930,GS,서비스업
078935,GS우,서비스업
003560,IHQ,서비스업
096760,JW홀딩스,서비스업
009440,KC그린홀딩스,서비스업
001940,KISCO홀딩스,서비스업
092230,KPX홀딩스,서비스업
058850,KTcs,서비스업
003550,LG,서비스업
003555,LG우,서비스업
006260,LS,서비스업
035420,NAVER,서비스업
181710,NHN엔터테인먼트,서비스업
034310,NICE,서비스업
036530,S&T홀딩스,서비스업
034120,SBS,서비스업
101060,SBS미디어홀딩스,서비스업
025530,SJM홀딩스,서비스업
034730,SK,서비스업
210980,SK디앤디,서비스업
03473K,SK우,서비스업
096770,SK이노베이션,서비스업
096775,SK이노베이션우,서비스업
037270,YG PLUS,서비스업
035250,강원랜드,서비스업
011420,갤럭시아에스엠,서비스업
140910,광희리츠,서비스업
005720,넥센,서비스업
005725,넥센우,서비스업
000320,노루홀딩스,서비스업
000327,노루홀딩스2우B,서비스업
000325,노루홀딩스우,서비스업
005250,녹십자홀딩스,서비스업
005255,녹십자홀딩스1우,서비스업
005257,녹십자홀딩스2우,서비스업
072710,농심홀딩스,서비스업
023590,다우기술,서비스업
020120,다우인큐브,서비스업
019680,대교,서비스업
019685,대교우B,서비스업
084690,대상홀딩스,서비스업
084695,대상홀딩스우,서비스업
005620,대성합동지주,서비스업
016710,대성홀딩스,서비스업
003090,대웅,서비스업
012510,더존비즈온,서비스업
002150,도화엔지니어링,서비스업
012030,동부,서비스업
083350,동북아10호,서비스업
083360,동북아11호,서비스업
083370,동북아12호,서비스업
083380,동북아13호,서비스업
083390,동북아14호,서비스업
102260,동성코퍼레이션,서비스업
000640,동아쏘시오홀딩스,서비스업
030790,동양네트웍스,서비스업
000150,두산,서비스업
000157,두산2우B,서비스업
241560,두산밥캣,서비스업
000155,두산우,서비스업
013570,디와이,서비스업
032350,롯데관광개발,서비스업
204210,모두투어리츠,서비스업
007120,미래아이앤지,서비스업
155900,바다로19호,서비스업
100220,비상교육,서비스업
018260,삼성에스디에스,서비스업
028050,삼성엔지니어링,서비스업
068290,삼성출판사,서비스업
000070,삼양홀딩스,서비스업
000075,삼양홀딩스우,서비스업
007860,서연,서비스업
000180,성창기업지주,서비스업
002420,세기상사,서비스업
058650,세아홀딩스,서비스업
053210,스카이라이프,서비스업
035510,신세계 I&C,서비스업
031440,신세계푸드,서비스업
006880,신송홀딩스,서비스업
002790,아모레G,서비스업
002795,아모레G우,서비스업
002030,아세아,서비스업
083570,아시아10호,서비스업
083580,아시아11호,서비스업
083590,아시아12호,서비스업
083600,아시아13호,서비스업
083610,아시아14호,서비스업
083620,아시아15호,서비스업
012750,에스원,서비스업
036570,엔씨소프트,서비스업
229640,엘에스전선아시아,서비스업
009970,영원무역홀딩스,서비스업
070960,용평리조트,서비스업
016880,웅진,서비스업
095720,웅진씽크빅,서비스업
000700,유수홀딩스,서비스업
072130,유엔젤,서비스업
214320,이노션,서비스업
015020,이스타코,서비스업
084680,이월드,서비스업
015860,일진홀딩스,서비스업
030000,제일기획,서비스업
001630,종근당홀딩스,서비스업
035000,지투알,서비스업
100250,진양홀딩스,서비스업
145270,케이탑리츠,서비스업
058860,케이티스,서비스업
090970,코리아01호,서비스업
090980,코리아02호,서비스업
090990,코리아03호,서비스업
091000,코리아04호,서비스업
044820,코스맥스비티아이,서비스업
002020,코오롱,서비스업
002025,코오롱우,서비스업
021240,코웨이,서비스업
031820,콤텍시스템,서비스업
078000,텔코웨어,서비스업
140890,트러스제7호,서비스업
010770,평화홀딩스,서비스업
017810,풀무원,서비스업
005810,풍산홀딩스,서비스업
039130,하나투어,서비스업
172580,하이골드12호,서비스업
139200,하이골드2호,서비스업
153360,하이골드3호,서비스업
159650,하이골드8호,서비스업
000140,하이트진로홀딩스,서비스업
000145,하이트진로홀딩스우,서비스업
006200,한국전자홀딩스,서비스업
023350,한국종합기술,서비스업
024720,한국콜마홀딩스,서비스업
000240,한국타이어월드와이드,서비스업
060980,한라홀딩스,서비스업
053690,한미글로벌,서비스업
008930,한미사이언스,서비스업
016450,한세예스24홀딩스,서비스업
004150,한솔홀딩스,서비스업
052690,한전기술,서비스업
130660,한전산업,서비스업
003480,한진중공업홀딩스,서비스업
180640,한진칼,서비스업
18064K,한진칼우,서비스업
015540,핫텍,서비스업
126560,현대에이치씨엔,서비스업
241590,화승엔터프라이즈,서비스업
094280,효성ITX,서비스업
