code,name,kind1
095570,AJ네트웍스,중형주
006840,AK홀딩스,중형주
037560,CJ헬로비전,중형주
139130,DGB금융지주,중형주
017940,E1,중형주
114090,GKL,중형주
006360,GS건설,중형주
175330,JB금융지주,중형주
001060,JW중외제약,중형주
096760,JW홀딩스,중형주
002550,KB손해보험,중형주
093050,LF,중형주
001120,LG상사,중형주
068870,LG생명과학,중형주
108670,LG하우시스,중형주
006260,LS,중형주
010120,LS산전,중형주
181710,NHN엔터테인먼트,중형주
034310,NICE,중형주
010060,OCI,중형주
064960,S&T모티브,중형주
003570,S&T중공업,중형주
036530,S&T홀딩스,중형주
034120,SBS,중형주
101060,SBS미디어홀딩스,중형주
011790,SKC,중형주
018670,SK가스,중형주
001740,SK네트웍스,중형주
210980,SK디앤디,중형주
001510,SK증권,중형주
006120,SK케미칼,중형주
009450,경동나비엔,중형주
000050,경방,중형주
214390,경보제약,중형주
002240,고려제강,중형주
009290,광동제약,중형주
037710,광주신세계,중형주
192530,광주은행,중형주
007690,국도화학,중형주
002990,금호산업,중형주
011780,금호석유,중형주
073240,금호타이어,중형주
003920,남양유업,중형주
025860,남해화학,중형주
005720,넥센,중형주
002350,넥센타이어,중형주
072710,농심홀딩스,중형주
023590,다우기술,중형주
019680,대교,중형주
008060,대덕전자,중형주
001680,대상,중형주
084690,대상홀딩스,중형주
003540,대신증권,중형주
042660,대우조선해양,중형주
003090,대웅,중형주
069620,대웅제약,중형주
006650,대한유화,중형주
003490,대한항공,중형주
005880,대한해운,중형주
012510,더존비즈온,중형주
008000,도레이케미칼,중형주
001230,동국제강,중형주
000990,동부하이텍,중형주
000640,동아쏘시오홀딩스,중형주
170900,동아에스티,중형주
007340,동아타이어,중형주
001520,동양,중형주
082640,동양생명,중형주
049770,동원F&B,중형주
006040,동원산업,중형주
014820,동원시스템즈,중형주
000150,두산,중형주
042670,두산인프라코어,중형주
034020,두산중공업,중형주
115390,락앤락,중형주
032350,롯데관광개발,중형주
000400,롯데손해보험,중형주
004000,롯데정밀화학,중형주
002270,롯데푸드,중형주
071840,롯데하이마트,중형주
204320,만도,중형주
138040,메리츠금융지주,중형주
008560,메리츠종금증권,중형주
000060,메리츠화재,중형주
009680,모토닉,중형주
033920,무학,중형주
085620,미래에셋생명,중형주
007210,벽산,중형주
003850,보령제약,중형주
003000,부광약품,중형주
015350,부산가스,중형주
005180,빙그레,중형주
005090,삼광글라스,중형주
028050,삼성엔지니어링,중형주
145990,삼양사,중형주
000070,삼양홀딩스,중형주
002810,삼영무역,중형주
005500,삼진제약,중형주
004690,삼천리,중형주
200880,서연이화,중형주
017390,서울가스,중형주
008490,서흥,중형주
004490,세방전지,중형주
001430,세아베스틸,중형주
058650,세아홀딩스,중형주
004430,송원산업,중형주
053210,스카이라이프,중형주
029530,신도리코,중형주
031430,신세계인터내셔날,중형주
031440,신세계푸드,중형주
001720,신영증권,중형주
003410,쌍용양회,중형주
003620,쌍용차,중형주
112610,씨에스윈드,중형주
020560,아시아나항공,중형주
122900,아이마켓코리아,중형주
010780,아이에스동서,중형주
033660,아주캐피탈,중형주
001780,알루코,중형주
005850,에스엘,중형주
138250,엔에스쇼핑,중형주
085310,엔케이,중형주
009970,영원무역홀딩스,중형주
003520,영진약품,중형주
000670,영풍,중형주
095720,웅진씽크빅,중형주
014830,유니드,중형주
003470,유안타증권,중형주
214320,이노션,중형주
102460,이연제약,중형주
000230,일동홀딩스,중형주
003200,일신방직,중형주
007570,일양약품,중형주
020150,일진머티리얼즈,중형주
015860,일진홀딩스,중형주
002620,제일약품,중형주
089590,제주항공,중형주
000480,조선내화,중형주
185750,종근당,중형주
001630,종근당홀딩스,중형주
071320,지역난방공사,중형주
002780,진흥기업,중형주
021960,케이비캐피탈,중형주
029460,케이씨텍,중형주
003690,코리안리,중형주
192820,코스맥스,중형주
044820,코스맥스비티아이,중형주
002020,코오롱,중형주
120110,코오롱인더,중형주
005740,크라운제과,중형주
039490,키움증권,중형주
003240,태광산업,중형주
009410,태영건설,중형주
214420,토니모리,중형주
036580,팜스코,중형주
028670,팬오션,중형주
016800,퍼시스,중형주
047050,포스코대우,중형주
017810,풀무원,중형주
103140,풍산,중형주
039130,하나투어,중형주
000080,하이트진로,중형주
000140,하이트진로홀딩스,중형주
025540,한국단자,중형주
002960,한국쉘석유,중형주
104700,한국철강,중형주
161890,한국콜마,중형주
024720,한국콜마홀딩스,중형주
000240,한국타이어월드와이드,중형주
002390,한독,중형주
060980,한라홀딩스,중형주
020000,한섬,중형주
016450,한세예스24홀딩스,중형주
213500,한솔제지,중형주
014680,한솔케미칼,중형주
004710,한솔테크닉스,중형주
009420,한올바이오파마,중형주
003300,한일시멘트,중형주
052690,한전기술,중형주
002320,한진,중형주
097230,한진중공업,중형주
180640,한진칼,중형주
117930,한진해운,중형주
027390,한화갤러리아타임월드,중형주
000370,한화손해보험,중형주
012450,한화테크윈,중형주
064350,현대로템,중형주
079430,현대리바트,중형주
010620,현대미포조선,중형주
011200,현대상선,중형주
126560,현대에이치씨엔,중형주
017800,현대엘리베이,중형주
057050,현대홈쇼핑,중형주
006060,화승인더,중형주
016580,환인제약,중형주
093370,후성,중형주
081660,휠라코리아,중형주
069260,휴켐스,중형주
