code,name,kind1
001460,BYC,제조업
001465,BYC우,제조업
011150,CJ씨푸드,제조업
011155,CJ씨푸드1우,제조업
097950,CJ제일제당,제조업
097955,CJ제일제당 우,제조업
155660,DSR,제조업
069730,DSR제강,제조업
007700,F&F,제조업
234080,JW생명과학,제조업
001060,JW중외제약,제조업
001067,JW중외제약2우B,제조업
001065,JW중외제약우,제조업
002380,KCC,제조업
119650,KC코트렐,제조업
092220,KEC,제조업
109070,KGP,제조업
001390,KG케미칼,제조업
083420,KPX그린케미칼,제조업
025000,KPX케미칼,제조업
000040,KR모터스,제조업
033780,KT&G,제조업
093050,LF,제조업
034220,LG디스플레이,제조업
068870,LG생명과학,제조업
068875,LG생명과학우,제조업
051900,LG생활건강,제조업
051905,LG생활건강우,제조업
011070,LG이노텍,제조업
066570,LG전자,제조업
066575,LG전자우,제조업
108670,LG하우시스,제조업
108675,LG하우시스우,제조업
051910,LG화학,제조업
051915,LG화학우,제조업
079550,LIG넥스원,제조업
010120,LS산전,제조업
023150,MH에탄올,제조업
008260,NI스틸,제조업
004250,NPC,제조업
004255,NPC우,제조업
010060,OCI,제조업
005490,POSCO,제조업
100840,S&TC,제조업
064960,S&T모티브,제조업
003570,S&T중공업,제조업
010950,S-Oil,제조업
010955,S-Oil우,제조업
001380,SG충방,제조업
002360,SH에너지화학,제조업
009160,SIMPAC,제조업
123700,SJM,제조업
011790,SKC,제조업
006120,SK케미칼,제조업
006125,SK케미칼우,제조업
000660,SK하이닉스,제조업
077970,STX엔진,제조업
071970,STX중공업,제조업
084870,TBH글로벌,제조업
002710,TCC동양,제조업
024070,WISCOM,제조업
000500,가온전선,제조업
000860,강남제비스코,제조업
002100,경농,제조업
009450,경동나비엔,제조업
000050,경방,제조업
214390,경보제약,제조업
012610,경인양행,제조업
009140,경인전자,제조업
012200,계양전기,제조업
012205,계양전기우,제조업
002140,고려산업,제조업
010130,고려아연,제조업
002240,고려제강,제조업
009290,광동제약,제조업
017040,광명전기,제조업
017900,광전자,제조업
007690,국도화학,제조업
002720,국제약품,제조업
014530,극동유화,제조업
014280,금강공업,제조업
014285,금강공업우,제조업
008870,금비,제조업
001570,금양,제조업
011780,금호석유,제조업
011785,금호석유우,제조업
214330,금호에이치티,제조업
001210,금호전기,제조업
073240,금호타이어,제조업
092440,기신정기,제조업
000270,기아차,제조업
004540,깨끗한나라,제조업
004545,깨끗한나라우,제조업
007460,나라케이아이씨,제조업
008350,남선알미늄,제조업
008355,남선알미우,제조업
003920,남양유업,제조업
003925,남양유업우,제조업
002070,남영비비안,제조업
025860,남해화학,제조업
002350,넥센타이어,제조업
002355,넥센타이어1우B,제조업
110570,넥솔론,제조업
090350,노루페인트,제조업
090355,노루페인트우,제조업
006280,녹십자,제조업
004370,농심,제조업
015590,대경기계,제조업
004130,대덕GDS,제조업
004135,대덕GDS우,제조업
008060,대덕전자,제조업
000490,대동공업,제조업
008110,대동전자,제조업
005750,대림B&Co,제조업
004440,대림씨엔에스,제조업
006570,대림통상,제조업
001680,대상,제조업
001689,대상3우B,제조업
001685,대상우,제조업
009190,대양금속,제조업
014160,대영포장,제조업
009320,대우부품,제조업
042660,대우조선해양,제조업
069620,대웅제약,제조업
000430,대원강업,제조업
006340,대원전선,제조업
006345,대원전선우,제조업
003220,대원제약,제조업
024890,대원화성,제조업
002880,대유에이텍,제조업
000300,대유플러스,제조업
012800,대창,제조업
015230,대창단조,제조업
001070,대한방직,제조업
006650,대한유화,제조업
001440,대한전선,제조업
084010,대한제강,제조업
001790,대한제당,제조업
001799,대한제당3우B,제조업
001795,대한제당우,제조업
001130,대한제분,제조업
003830,대한화섬,제조업
016090,대현,제조업
069460,대호에이엘,제조업
004830,덕성,제조업
004835,덕성우,제조업
024900,덕양산업,제조업
008000,도레이케미칼,제조업
001620,동국실업,제조업
001230,동국제강,제조업
023450,동남합성,제조업
007590,동방아그로,제조업
016380,동부제철,제조업
016385,동부제철우,제조업
000990,동부하이텍,제조업
000995,동부하이텍1우,제조업
002210,동성제약,제조업
005190,동성화학,제조업
058730,동아에스텍,제조업
170900,동아에스티,제조업
007340,동아타이어,제조업
001520,동양,제조업
001527,동양2우B,제조업
001529,동양3우B,제조업
002900,동양물산,제조업
001525,동양우,제조업
008970,동양철관,제조업
049770,동원F&B,제조업
018500,동원금속,제조업
014820,동원시스템즈,제조업
014825,동원시스템즈우,제조업
163560,동일고무벨트,제조업
001530,동일방직,제조업
004890,동일산업,제조업
002690,동일제강,제조업
000020,동화약품,제조업
082740,두산엔진,제조업
042670,두산인프라코어,제조업
034020,두산중공업,제조업
016740,두올,제조업
024090,디씨엠,제조업
003160,디아이,제조업
092200,디아이씨,제조업
210540,디와이파워,제조업
026890,디피씨,제조업
115390,락앤락,제조업
004000,롯데정밀화학,제조업
004990,롯데제과,제조업
005300,롯데칠성,제조업
005305,롯데칠성우,제조업
011170,롯데케미칼,제조업
002270,롯데푸드,제조업
027740,마니커,제조업
204320,만도,제조업
001080,만호제강,제조업
017180,명문제약,제조업
012690,모나리자,제조업
009680,모토닉,제조업
009580,무림P&P,제조업
009200,무림페이퍼,제조업
033920,무학,제조업
008420,문배철강,제조업
025560,미래산업,제조업
